date,year,week,year_week,month,year_month,day,weekday,weekday_name,hour,n_calls_in_week,share_calls,est_n_calls
2021-06-08,2021,23,2021 W23,6,2021 M 6,8,1,Tue,20,14009.942764144365,0.0014285993536280234,20.014595177222244
2021-06-15,2021,24,2021 W24,6,2021 M 6,15,1,Tue,20,14293.040839775287,0.0014285993536280234,20.419028905081916
2021-06-22,2021,25,2021 W25,6,2021 M 6,22,1,Tue,20,14538.955421900844,0.0014285993536280234,20.770342318154192
2021-06-29,2021,26,2021 W26,6,2021 M 6,29,1,Tue,20,14744.621987542245,0.0014285993536280234,21.06415744089239
2021-07-06,2021,27,2021 W27,7,2021 M 7,6,1,Tue,20,14907.221965812892,0.0014285993536280234,21.29644766474977
2021-07-13,2021,28,2021 W28,7,2021 M 7,13,1,Tue,20,15024.21627009226,0.0014285993536280234,21.463585652221436
2021-07-20,2021,29,2021 W29,7,2021 M 7,20,1,Tue,20,15093.378830199763,0.0014285993536280234,21.562391240886274
2021-07-27,2021,30,2021 W30,7,2021 M 7,27,1,Tue,20,15112.830124568613,0.0014285993536280234,21.59017934744884
2021-08-03,2021,31,2021 W31,8,2021 M 8,3,1,Tue,20,15081.070712419678,0.0014285993536280234,21.544807871781266
2021-08-10,2021,32,2021 W32,8,2021 M 8,10,1,Tue,20,14997.014765935355,0.0014285993536280234,21.42472560096517
2021-08-17,2021,33,2021 W33,8,2021 M 8,17,1,Tue,20,14860.023602433455,0.0014285993536280234,21.229020113333604
2021-08-24,2021,34,2021 W34,8,2021 M 8,24,1,Tue,20,14669.939216541028,0.0014285993536280234,20.957465682512904
2021-08-31,2021,35,2021 W35,8,2021 M 8,31,1,Tue,20,14427.117812368251,0.0014285993536280234,20.610571181464625
2021-09-07,2021,36,2021 W36,9,2021 M 9,7,1,Tue,20,14132.463335682305,0.0014285993536280234,20.18962798652748
2021-09-14,2021,37,2021 W37,9,2021 M 9,14,1,Tue,20,13787.461006081203,0.0014285993536280234,19.696757881459185
2021-09-21,2021,38,2021 W38,9,2021 M 9,21,1,Tue,20,13394.2108491677,0.0014285993536280234,19.134960961478434
2021-09-28,2021,39,2021 W39,9,2021 M 9,28,1,Tue,20,12955.461228723118,0.0014285993536280234,18.508163537306764
2021-10-05,2021,40,2021 W40,10,2021 M10,5,1,Tue,20,12474.64237888123,0.0014285993536280234,17.821266039210474
